siren,etatAdministratifUniteLegale,nomUniteLegale,nomUsageUniteLegale,denominationUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,dateDernierTraitementUniteLegale,caractereEmployeurUniteLegale,identifiantAssociationUniteLegale
013750468,A,,,COPROPRIETE GLYCINES DIJON,,,,2015-05-14T03:02:20,O,
013750476,A,,,COPROPRIETE LAMARTINE CL,,,,2019-06-24T13:04:26,O,
013750484,A,,,COPROPRIETE LE MERIDIEN,,,,2019-06-24T13:04:26,O,
013750500,A,,,COPROPRIETE ISABELLE DU PORTUGAL,,,,2019-06-24T13:04:26,O,
013750518,A,,,COPROPRIETE LE COMMODORE,,,,2019-06-24T13:04:26,O,
013750575,A,,,COPROPRIETE RESIDENCE EIFFEL,,,,2019-06-24T13:04:26,O,
013750583,A,,,SYNDICAT COPROPRIETE LES FASSOLES,,,,2019-06-24T13:04:26,O,
013750591,A,,,COPROPRIETE FOR AUX FEES,,,,2019-06-24T13:04:26,O,
013750716,A,,,SYNDICAT COPROPRIETE LES LILAS,,,,2019-06-24T13:04:26,O,
013750823,A,,,SYNDICAT COPROPRIETE AMIRAL ROUSSIN N 21,,,,2019-06-24T13:04:26,O,
013750872,A,,,COPROPRIETE TOUR KENNEDY,,,,2019-06-24T13:04:26,O,
013750955,A,,,COPROPRIETE LES ESSARTEAUX,,,,2019-06-24T13:04:26,O,
013750963,A,,,COPROPRIETE PERRIERES N°507,,,,2019-06-24T13:04:26,O,
013750997,A,,,COPROPRIETE LYAUTEY N°513,,,,2019-06-24T13:04:26,O,
013751052,A,,,COPROPRIETE SACOOP DEUX,,,,2019-06-24T13:04:26,O,
013751102,A,,,COPROPRIETE MANSARD GABRIEL N°554,,,,2019-06-24T13:04:26,O,
013751110,A,,,COPROPRIETE MONTCHAPET N°557,,,,2019-06-24T13:04:26,O,
013751243,A,,,COPROPRIETE ELYSEE,,,,2019-06-24T13:04:26,O,
013751326,A,,,SYNDICAT COPROPRIETE TOUR MAIL,,,,2018-09-29T12:00:22,O,
013751359,A,,,COPROPRIETE ALLEE RETRAITE N°2 4,,,,2018-09-29T12:00:22,O,
013751516,A,,,SYNDICAT COPROPRIETE LES MARCS D'OR,,,,2019-06-24T13:04:26,O,
013751557,A,,,COPROPRIETE LES BURGONDES,,,,2019-06-24T13:04:26,O,
013751821,A,,,COPROPRIETE LA SOURCE,,,,2019-06-24T13:04:26,O,
013751839,A,,,COPROPRIETE LES CEDRES,,,,2019-06-24T13:04:26,O,
013751946,A,,,COPROPRIETE RESIDENCE DARCY,,,,2019-06-24T13:04:26,O,
013751995,A,,,COPROPRIETE SAINTE ANNE,,,,2019-06-24T13:04:26,O,
013752043,A,,,SYNDICAT COPROPRIETE LA CHAUMIERE,,,,2019-06-24T13:04:26,O,
013752050,A,,,SYNDICAT COPROPRIETE GRAND CRUS,,,,2019-06-24T13:04:26,O,
013752068,A,,,SYNDICAT COPROPRIETE ST SAENS,,,,2019-06-24T13:04:26,O,
013752076,A,,,SYNDICAT COPROPRIETE LA JOUVENCIERE,,,,2019-06-24T13:04:26,O,
013752100,A,,,COPROPRIETE PLACE CENTRALE DEF,,,,2019-06-24T13:04:26,O,
013752126,A,,,SYNDICAT COPROPRIETE LIONS DU PARC 2,,,,2019-06-24T13:04:26,O,
013752142,A,,,SYNDICAT COPROPRIETE CLOS DES PINS,,,,2019-06-24T13:04:26,O,
013752159,A,,,SYNDICAT COPROPRIETE FONTAINAMONT,,,,2019-06-24T13:04:26,O,
013752167,A,,,SYNDICAT COPROPRIETE MONTANT DES ROSES,,,,2019-06-24T13:04:26,O,
013752175,A,,,SYNDICAT COPROPRIETE LES PERRIERES N 28A,,,,2019-06-24T13:04:26,O,
013752183,A,,,SYNDICAT COPROPRIETE MONTMARTRE N 17 BIS,,,,2019-06-24T13:04:26,O,
013752209,A,,,SYNDICAT COPROPRIETE LA ROSERAIE,,,,2019-06-24T13:04:26,O,
013752233,A,,,SYNDICAT COPROPRIETE LES PRUNELLES,,,,2019-06-24T13:04:26,O,
013752241,A,,,SYNDICAT COPROPRIETE LE TEMERAIRE,,,,2019-06-24T13:04:26,O,
013752332,A,,,COPROPRIETE LES LILAS,,,,2019-06-24T13:04:26,O,
013752357,A,,,COPROPRIETE LES PRESIDENTS,,,,2019-06-24T13:04:26,O,
013752365,A,,,COPROPRIETE CLOS DETOURBET,,,,2019-06-24T13:04:26,O,
013752373,A,,,SYND COPROPRIETE JARDINS TALANT,,,,2019-06-24T13:04:26,O,
013752399,A,,,COPROPRIETE NICOLAS N 19,,,,2019-10-29T18:00:20,O,
